m/z,z
726.8327,2
747.346,2
872.3805,2
1017.9282,2
728.8567,2
830.3964,2
911.4228,2
931.9361,2
1056.9705,2
1202.5182,2
673.3539,2
774.8936,2
855.92,2
876.4333,2
1001.4677,2
1147.0154,2
681.3075,2
782.8471,2
863.8736,2
884.3868,2
1009.4213,2
1154.969,2
685.3424,2
786.8821,2
867.9085,2
888.4217,2
1013.4562,2
1159.0039,2
543.2952,2
644.8349,2
725.8613,2
746.3746,2
871.409,2
1016.9567,2
681.3075,2
782.8471,2
863.8736,2
884.3868,2
1009.4213,2
1154.969,2
564.279,2
665.8187,2
746.8451,2
767.3584,2
892.3928,2
1037.9406,2
630.8689,2
732.4086,2
813.435,2
833.9482,2
958.9827,2
1104.5304,2
577.7991,2
679.3388,2
760.3652,2
780.8784,2
905.9129,2
1051.4606,2
699.36,2
800.8997,2
881.9261,2
902.4394,2
1027.4738,2
1173.0215,2
708.9194,2
810.4591,2
891.4855,2
911.9988,2
1037.0332,2
1182.5809,2
601.7801,2
703.3198,2
784.3462,2
804.8595,2
929.8939,2
1075.4416,2
656.8845,2
758.4242,2
839.4506,2
859.9639,2
984.9983,2
1130.546,2
733.3787,2
834.9184,2
915.9448,2
936.4581,2
1061.4926,2
1207.0403,2
648.8524,2
750.3921,2
831.4185,2
851.9318,2
976.9662,2
1122.5139,2
737.4014,2
838.9411,2
919.9675,2
940.4808,2
1065.5152,2
1211.0629,2
733.3787,2
834.9184,2
915.9448,2
936.4581,2
1061.4926,2
1207.0403,2
828.4013,2
929.941,2
1010.9674,2
1031.4807,2
1156.5151,2
1302.0628,2
778.4455,2
879.9852,2
961.0116,2
981.5248,2
1106.5593,2
1252.107,2
808.3599,2
909.8996,2
990.926,2
1011.4393,2
1136.4737,2
1282.0214,2
783.9171,2
885.4568,2
966.4832,2
986.9965,2
1112.0309,2
1257.5786,2
808.3599,2
909.8996,2
990.926,2
1011.4393,2
1136.4737,2
1282.0214,2
807.8695,2
909.4091,2
990.4356,2
1010.9488,2
1135.9833,2
1281.531,2
751.927,2
853.4667,2
934.4931,2
955.0064,2
1080.0408,2
1225.5886,2
865.9825,2
967.5222,2
1048.5486,2
1069.0619,2
1194.0963,2
1339.6441,2
735.9115,2
837.4512,2
918.4776,2
938.9908,2
1064.0253,2
1209.573,2
854.4421,2
955.9818,2
1037.0082,2
1057.5214,2
1182.5559,2
1328.1036,2
915.9165,2
1017.4562,2
1098.4826,2
1118.9958,2
1244.0303,2
1389.578,2
795.9482,2
897.4879,2
978.5143,2
999.0276,2
1124.062,2
1269.6097,2
854.4421,2
955.9818,2
1037.0082,2
1057.5214,2
1182.5559,2
1328.1036,2
795.9482,2
897.4879,2
978.5143,2
999.0276,2
1124.062,2
1269.6097,2
869.4751,2
971.0148,2
1052.0412,2
1072.5545,2
1197.5889,2
1343.1366,2
821.4295,2
922.9692,2
1003.9956,2
1024.5089,2
